Central PA,Width,Linear Speed,2nd initial,order final,speed 20R,Accel,Mass,Kinetic Energy,MPA,Severity,Timestamp
0.7437325905292479,0.0060263653483992,0.1798396334478808,0.1738733252131546,0.0647318036772527,0.041256752172438,1.5663636363636073e-14,,,0.7555555555555555,0.3636363636363636,0.0
0.7381615598885793,0.0052730696798493,0.1000381825124093,0.0846528623629719,0.0460416350098769,0.13833146316641,1.8713636363636013e-14,,,0.7388888888888889,0.1717171717171717,0.0001895554923703
0.7298050139275766,0.015442561205273,0.1897670866743031,0.1827040194884287,0.0689864762194195,0.041256752172438,1.717272727272695e-14,,,0.7555555555555555,0.393939393939394,0.0003791109847407
0.7771587743732591,0.0267419962335216,0.1103474608629248,0.0782582216808769,0.0574380793192523,0.1800840270347851,1.903636363636328e-14,,,0.7611111111111112,0.1919191919191919,0.0035067766088522
0.2395543175487465,0.0188323917137476,0.0824742268041237,0.0377588306942752,0.0534873119586689,0.2124422640327757,1.949999999999964e-14,,,0.2138888888888889,0.1414141414141414,0.0056866647711117
0.2813370473537604,0.0090395480225988,0.074074074074074,0.0609013398294762,0.0370764321531682,0.1419848125048928,1.8799999999999652e-14,,,0.2805555555555555,0.1212121212121212,0.0060657757558525
0.7298050139275766,0.0143126177024482,0.0931653302787323,0.0809987819732034,0.0420908676492934,0.1130189713212077,1.8595454545454202e-14,0.0041499452282469,0.0011071428571428,0.7277777777777779,0.1616161616161616,0.007771775187186
0.7465181058495822,0.0131826741996233,0.1011836578846888,0.0502436053593179,0.0636681355417109,0.1325904856345084,1.8981818181817828e-14,,,0.75,0.1717171717171717,0.0081508861719268
0.245125348189415,0.0177024482109227,0.0931653302787323,0.0813032886723507,0.042242820240085,0.1203256699981733,1.8627272727272383e-14,0.0012999450714969,0.0003392857142857,0.2472222222222222,0.1616161616161616,0.0086247749028528
0.245125348189415,0.015442561205273,0.0748377243222604,0.0563337393422655,0.040419389150585,0.1127580177970303,1.8686363636363287e-14,,,0.2583333333333333,0.1212121212121212,0.0106151075727419
0.2618384401114206,0.0252354048964218,0.1374570446735395,0.1202801461632155,0.0577419845008357,0.1409409984081835,1.8559090909090563e-14,0.016499945907497,0.0089285714285714,0.2083333333333333,0.2525252525252525,0.0108994408112975
0.245125348189415,0.0267419962335216,0.1534936998854524,0.151035322777101,0.0547029326850022,0.146681975940085,1.8359090909090565e-14,0.013499945742497,0.0089285714285714,0.2305555555555555,0.2929292929292929,0.0109942185574827
0.7520891364902507,0.0188323917137476,0.1076746849942726,0.0901339829476248,0.049232639416502,0.1331123926828631,1.8654545454545103e-14,,,0.7472222222222222,0.1919191919191919,0.0119419960193346
0.7075208913649025,0.0105461393596986,0.0618556701030927,0.0398903775883069,0.0376842425163349,0.1539886746170507,1.8949999999999647e-14,0.0002099450115469,2.7142857142857144e-05,0.7361111111111112,0.101010101010101,0.0127949957350014
0.2367688022284122,0.0199623352165725,0.1053837342497136,0.106272838002436,0.0398115787874183,0.0845750371858772,1.8409090909090565e-14,0.0033999451869969,0.0011071428571428,0.225,0.1818181818181818,0.0149748838972609
0.754874651810585,0.0188323917137476,0.1263841160748377,0.0676004872107186,0.0779516790761282,0.2805511338430626,2.0190909090908716e-14,,,0.75,0.2323232323232323,0.0163017723438536
0.7214484679665738,0.0124293785310734,0.090110729285987,0.0922655298416565,0.034341285518918,0.0934474570079068,1.8463636363636017e-14,0.015499945852497,0.0039285714285714,0.7166666666666667,0.1515151515151515,0.01696521656715
0.7604456824512534,0.031638418079096,0.1618938526155021,0.146163215590743,0.0642759459048776,0.1552934422379374,1.8418181818181475e-14,0.021999946209997,0.0160714285714285,0.7138888888888889,0.3131313131313131,0.0170599943133352
0.6713091922005571,0.0109227871939736,0.080946926307751,0.0459805115712545,0.0484728764625436,0.2160956133712586,1.944999999999964e-14,,,0.6805555555555556,0.1313131313131313,0.0176286607904464
0.7771587743732591,0.0097928436911487,0.1114929362352042,0.1281973203410475,0.0349490958820847,0.041256752172438,1.760909090909058e-14,,,0.7583333333333334,0.202020202020202,0.0178182162828167
0.2618384401114206,0.0169491525423728,0.1076746849942726,0.0883069427527405,0.0498404497796687,0.1315466715377991,1.8663636363636016e-14,,,0.2611111111111111,0.1919191919191919,0.0178182162828167
0.0863509749303621,0.0651600753295668,0.08323787705231,0.0170523751522533,0.0651876614496277,0.1657315832050311,1.9013636363636012e-14,,,0.0944444444444444,0.1414141414141414,0.0181025495213723
0.7381615598885793,0.0241054613935969,0.0862924780450553,0.0648599269183922,0.0443701565111685,0.1205866235223506,1.8681818181817832e-14,,,0.7277777777777779,0.1414141414141414,0.0189555492370391
0.3398328690807799,0.0124293785310734,0.071783123329515,0.02557856272838,0.0542470749126272,0.1333733462070405,1.882272727272692e-14,,,0.3305555555555555,0.1212121212121212,0.0209458819069282
